id,word,pos,cefr
1111,exhibition,n.,B1
1112,exist,v.,A2
1113,existence,n.,B2
1114,exit,n.,A2
1115,expand,v.,B2
1116,expect,v.,B1
1117,expectation,n.,B2
1118,expected,adj.,B2
1119,expense,n.,B2
1120,expensive,adj.,A1
1121,experience,n.; v.,B1
1122,experienced,adj.,B1
1123,experiment,n.; v.,B1
1124,expert,n.; adj.,B1
1125,explain,v.,A2
1126,explanation,n.,B1
1127,explode,v.,B1
1128,explore,v.,B1
1129,explosion,n.,B2
1130,export,v.; n.,B2
1131,expose,v.,B2
1132,express,v.; adj.,B2
1133,expression,n.,B2
1134,extend,v.,B2
1135,extension,n.,B2
1136,extensive,adj.,B2
1137,extent,n.,B2
1138,extra,adj.; n.; adv.,A2
1139,extraordinary,adj.,B1
1140,extreme,adj.; n.,B2
1141,extremely,adv.,B1
1142,eye,n.,A1
1143,face,n.; v.,A1
1144,facility,n.,B2
1145,fact,n.,A2
1146,factor,n.,B2
1147,factory,n.,A1
1148,fail,v.,A2
1149,failure,n.,B2
1150,faint,adj.,B2
1151,faintly,adv.,B2
1152,fair,adj.,A2
1153,fairly,adv.,B1
1154,faith,n.,B2
1155,faithful,adj.,B2
1156,faithfully,adv.,B2
1157,fall,v.; n.,A2
1158,fall asleep,,B1
1159,fall over,,B1
1160,false,adj.,B1
1161,fame,n.,B2
1162,familiar,adj.,B1
1163,family,n.; adj.,A1
1164,famous,adj.,A1
1165,fan,n.,A2
1166,fancy,v.; adj.,B1
1167,far,adv.; adj.,A2
1168,farm,n.,A1
1169,farmer,n.,A2
1170,farming,n.,B1
1171,"farther, farthest, far",,A2
1172,fashion,n.,A2
1173,fashionable,adj.,B1
1174,fast,adj.; adv.,A1
1175,fasten,v.,B1
1176,fat,adj.; n.,A1
1177,father,n.,A1
1178,faucet,n.,B1
1179,fault,n.,B2
1180,favour,n.,B1
1181,favourite,adj.; n.,A1
1182,fear,n.; v.,B1
1183,feather,n.,B2
1184,feature,n.; v.,B2
1185,February,n.; abbr. Feb.,A1
1186,federal,adj.,C1
1187,fee,n.,B1
1188,feed,v.,B1
1189,feel,v.,A1
1190,feel sick,,B2
1191,feeling,n.,B1
1192,fellow,n.; adj.,B2
1193,female,adj.; n.,B1
1194,fence,n.,B2
1195,festival,n.,B1
1196,fetch,v.,B1
1197,fever,n.,B1
1198,few,det.; adj.; pron.,A2
1199,field,n.,A2
1200,fight,v.; n.,B1
1201,fighting,n.,B2
1202,figure,n.; v.,B1
1203,file,n.,A2
1204,fill,v.,A2
1205,film,n.; v.,A1
1206,final,adj.; n.,A2
1207,finally,adv.,A2
1208,finance,n.; v.,B2
1209,financial,adj.,B1
1210,find,v.,A1
1211,find out sth,,A2
1212,fine,adj.,A1
1213,finely,adv.,B2
1214,finger,n.,A2
1215,finish,v.; n.,A1
1216,finished,adj.,A2
1217,fire,n.; v.,A2
1218,firm,n.; adj.; adv.,B2
1219,firmly,adv.,B2
1220,first,det.; ordinal number; adv.; n.,A1
1221,fish,n.; v.,A1
1222,fishing,n.,A2
1223,fit,v.; adj.,A2
1224,fix,v.,B1
1225,fixed,adj.,B2
1226,flag,n.,B1
1227,flame,n.,B2
1228,flash,v.; n.,B2
1229,flat,adj.; n.,A1
1230,flavour,n.; v.,B1
1231,flesh,n.,C2
1232,flight,n.,A2
1233,float,v.,B1
1234,flood,n.; v.,B1
1235,floor,n.,A1
1236,flour,n.,B1
1237,flow,n.; v.,B1
1238,flower,n.,A1
1239,flu,n.,B1
1240,fly,v.; n.,A1
1241,flying,adj.; n.,A2
1242,focus,v.; n.,B2
1243,fold,v.; n.,B1
1244,folding,adj.,B2
1245,follow,v.,A2
1246,following,adj.; n.; prep.,B2
1247,food,n.,A1
1248,foot,n.,A1
1249,football,n.,A1
1250,for,prep.,A1
1251,for instance,,B1
1252,force,n.; v.,B2
1253,forecast,n.; v.,B1
1254,foreign,adj.,A2
1255,forest,n.,A2
1256,forever,adv.,B1
1257,forget,v.,A1
1258,forgive,v.,B1
1259,fork,n.,A2
1260,form,n.; v.,A2
1261,formal,adj.,B2
1262,formally,adv.,C1
1263,former,adj.,B1
1264,formerly,adv.,B2
1265,formula,n.,C1
1266,fortune,n.,B2
1267,forward,adj.,B2
1268,forward,adv.,B1
1269,found,v.,B2
1270,foundation,n.,C1
1271,frame,n.; v.,B1
1272,free,adj.; v.; adv.,A2
1273,freedom,n.,B2
1274,freely,adv.,B2
1275,freeze,v.,B1
1276,frequent,adj.,B1
1277,frequently,adv.,B1
1278,fresh,adj.,A2
1279,freshly,adv.,A2
1280,Friday,n.; abbr. Fri.,A1
1281,fridge,n.,A2
1282,friend,n.,A1
1283,friendly,adj.,A2
1284,friendship,n.,B1
1285,frighten,v.,B2
1286,frightened,adj.,B1
1287,frightening,adj.,B1
1288,from,prep.,A1
1289,front,n.; adj.,A2
1290,frozen,adj.,B1
1291,"frozen, freeze",,B1
1292,fruit,n.,A1
1293,fry,v.; n.,B1
1294,fuel,n.,B1
1295,full,adj.,A2
1296,fully,adv.,B1
1297,fun,n.; adj.,A1
1298,function,n.; v.,B2
1299,fund,n.; v.,C1
1300,fundamental,adj.,C2
1301,funeral,n.,B2
1302,funny,adj.,A1
1303,fur,n.,B1
1304,furniture,n.,A2
1305,further,adj.,A2
1306,future,n.; adj.,A2
1307,g,abbr. gram,A2
1308,gain,v.; n.,B1
1309,gallon,n.,B2
1310,gamble,v.; n.,C2
1311,gambling,n.,B2
1312,game,n.,A1
1313,gap,n.,B1
1314,garage,n.,A2
1315,garbage,n.,B1
1316,garden,n.,A1
1317,gas,n.,A2
1318,gasoline,n.,B2
1319,gate,n.,A2
1320,gather,v.,B2
1321,gear,n.,B2
1322,general,adj.,B1
1323,generally,adv.,B1
1324,generate,v.,B2
1325,generation,n.,B1
1326,generous,adj.,B1
1327,generously,adv.,B2
1328,gentle,adj.,B1
1329,gentleman,n.,B2
1330,gently,adv.,B2
1331,genuine,adj.,B2
1332,genuinely,adv.,B2
1333,geography,n.,A2
1334,get,v.,A1
1335,get off,,B1
1336,get on,,B1
1337,giant,n.; adj.,B1
1338,gift,n.,A2
1339,girl,n.,A1
1340,girlfriend,n.,A2
1341,give up,,B2
1342,give,v.,A1
1343,give birth,,B2
1344,give sth away,,B1
1345,give sth out,,B1
1346,glad,adj.,A2
1347,glass,n.,A1
1348,glasses,n.,A1
1349,global,adj.,B2
1350,glove,n.,A2
1351,glue,n.; v.,C2
1352,gm,abbr. gram,A2
1353,go,v.,A1
1354,go bad,,B1
1355,go down,,B1
1356,go up,,B1
1357,go wrong,,B1
1358,goal,n.,A2
1359,god,n.,A2
1360,gold,n.; adj.,A2
1361,good,adj.; n.,A1
1362,good at,,A2
1363,good for,,A1
1364,goodbye,exclamation; n.,A1
1365,goods,n.,B2
1366,govern,v.,B2
1367,government,n.,B1
1368,governor,n.,B2
1369,grab,v.,B1
1370,grade,n.; v.,A2
1371,gradual,adj.,B2
1372,gradually,adv.,B2
1373,grain,n.,C2
1374,gram,"n.; abbr. g, gm",A2
1375,grammar,n.,A2
1376,grand,adj.,C1
1377,grandchild,n.,A2
1378,granddaughter,n.,A2
1379,grandfather,n.,A2
1380,grandmother,n.,A2
1381,grandparent,n.,A2
1382,grandson,n.,A2
1383,grant,v.; n.,B2
1384,grass,n.,A1
1385,grateful,adj.,B1
1386,grave,n.; adj.,B2
1387,gray grey,,A1
1388,great,adj.,A1
1389,greatly,adv.,B2
1390,green,adj.; n.,A1
1391,grey,adj.; n.,A1
1392,groceries,n.,B1
1393,grocery,n.,A2
1394,ground,n.,B1
1395,group,n.,A1
1396,grow,v.,A2
1397,grow up,,A2
1398,growth,n.,B2
1399,guarantee,n.; v.,B2
1400,guard,n.; v.,B1
1401,guess,v.; n.,A2
1402,guest,n.,A2
1403,guide,n.; v.,A2
1404,guilty,adj.,B1
1405,gun,n.,B1
1406,guy,n.,A2
1407,habit,n.,B1
1408,hair,n.,A1
1409,hairdresser,n.,B1
1410,half,n.; det.; pron.; adv.,A1
1411,hall,n.,A1
1412,hammer,n.,B2
1413,hand,n.; v.,A1
1414,handle,v.; n.,B1
1415,hang,v.,B1
1416,happen,v.,A2
1417,happily,adv.,B1
1418,happiness,n.,B1
1419,happy,adj.,A1
1420,hard,adj.; adv.,A1
1421,hardly,adv.,B1
1422,harm,n.; v.,B2
1423,harmful,adj.,B2
1424,harmless,adj.,B2
1425,hat,n.,A1
1426,hate,v.; n.,A2
1427,hatred,n.,C1
1428,"have, auxiliary",v.; v.,A1
1429,have to,modal; v.,A2
1430,he,pron.,A1
1431,head,n.; v.,A1
1432,headache,n.,A2
1433,heal,v.,B2
1434,health,n.,A2
1435,healthy,adj.,A2
1436,hear,v.,A1
1437,hearing,n.,A1
1438,heart,n.,A2
1439,heat,n.; v.,B1
1440,heating,n.,B1
1441,heaven,n.,B2
1442,heavily,adv.,B1
1443,heavy,adj.,A2
1444,heel,n.,B1
1445,height,n.,B1
1446,hell,n.,B2
1447,hello,exclamation; n.,A1
1448,help,v.; n.,A1
1449,helpful,adj.,B1
1450,hence,adv.,C1
1451,her,pron.; det.,A1
1452,here,adv.,A1
1453,hero,n.,B1
1454,hers,pron.,A1
1455,herself,pron.,A2
1456,hesitate,v.,B2
1457,hi,exclamation,A1
1458,hide,v.,B1
1459,high,adj.; adv.,A2
1460,highlight,v.; n.,B2
1461,highly,adv.,B2
1462,highway,n.,A2
1463,hill,n.,A2
1464,him,pron.,A1
1465,himself,pron.,A2
1466,hip,n.,B2
1467,hire,v.; n.,B1
1468,his,det.; pron.,A1
1469,historical,adj.,B1
1470,history,n.,A2
1471,hit,v.; n.,A2
1472,hobby,n.,A2
1473,hold,v.; n.,A2
1474,hole,n.,B1
1475,holiday,n.,A1
1476,hollow,adj.,C2
1477,holy,adj.,C1
1478,"home,.",n.; adv.,A1
1479,homework,n.,A1
1480,honest,adj.,B1
1481,honestly,adv.,B1
1482,honour,n.,B2
1483,hook,n.,B2
1484,hope,v.; n.,A2
1485,horizontal,adj.,C1
1486,horn,n.,B2
1487,horror,n.,B1
1488,horse,n.,A1
1489,hospital,n.,A1
1490,host,n.; v.,B2
1491,hot,adj.,A1
1492,hotel,n.,A1
1493,hour,n.,A1
1494,house,n.,A1
1495,household,n.; adj.,B2
1496,housing,n.,C1
1497,how,adv.,A1
1498,however,adv.,A2
1499,huge,adj.,B1
1500,human,adj.; n.,B1
1501,humorous,adj.,C1
1502,humour,n.,B1
1503,hungry,adj.,A1
1504,hunt,v.,B1
1505,hunting,n.,B2
1506,hurry,v.; n.,A2
1507,hurt,v.,A2
1508,husband,n.,A1
1509,I,pron.,A1
1510,i.e.,abbr.,C1
1511,ice,n.,A2
1512,ice cream,n.,A1
1513,idea,n.,A2
1514,ideal,adj.; n.,B2
1515,ideally,adv.,B2
1516,identify,v.,B2
1517,identity,n.,B2
1518,if,conj.,A2
1519,ignore,v.,B2
1520,ill,adj.,A2
1521,illegal,adj.,B2
1522,illegally,adv.,B2
1523,illness,n.,B1
1524,illustrate,v.,B2
1525,image,n.,B2
1526,imaginary,adj.,C1
1527,imagination,n.,B1
1528,imagine,v.,B1
1529,immediate,adj.,B2
1530,immediately,adv.,A2
1531,immoral,adj.,B2
1532,impact,n.,B2
1533,impatient,adj.,B2
1534,impatiently,adv.,B2
1535,implication,n.,C1
1536,imply,v.,C2
1537,import,n.; v.,B2
1538,importance,n.,B1
1539,important,adj.,A1
1540,importantly,adv.,B2
1541,impose,v.,C1
1542,impossible,adj.,B1
1543,impress,v.,B2
1544,impressed,adj.,B2
1545,impression,n.,B2
1546,impressive,adj.,B2
1547,improve,v.,A2
1548,improvement,n.,B1
1549,in,prep.; adv.,A1
1550,in a hurry,,B1
1551,in addition,,B1
1552,in advance,,B1
1553,in case,,B1
1554,in charge of,,B1
1555,in common,,B1
1556,in control,,B2
1557,in detail,,B1
1558,in exchange,,B1
1559,in favour/favor,,B2
1560,in front,,B1
1561,in general,,B1
1562,in honour/honor of,,B2
1563,in memory of,,C2
1564,in order to,,B1
1565,in public,,B2
1566,in the end,,B1
1567,inability,n.,C1
1568,inch,n.,B1
1569,incident,n.,B2
1570,include,v.,A2
1571,including,prep.,A2
1572,income,n.,B2
1573,increase,v.; n.,B1
1574,increasingly,adv.,B2
1575,indeed,adv.,B1
1576,independence,n.,B2
1577,independent,adj.,B1
1578,independently,adv.,B2
1579,index,n.,C1
1580,indicate,v.,B2
1581,indication,n.,C1
1582,indirect,adj.,C1
1583,indirectly,adv.,C1
1584,individual,adj.; n.,B1
1585,indoor,adj.,A2
1586,indoors,adv.,B1
1587,industrial,adj.,B2
1588,industry,n.,B1
1589,inevitable,adj.,C1
1590,inevitably,adv.,C1
1591,infect,v.,C1
1592,infected,adj.,C1
1593,infection,n.,B2
1594,infectious,adj.,C2
1595,influence,n.; v.,B2
1596,inform,v.,B1
1597,informal,adj.,B2
1598,information,n.,A2
1599,ingredient,n.,B1
1600,initial,adj.; n.,B1
1601,initially,adv.,B2
1602,initiative,n.,C1
1603,injure,v.,B1
1604,injured,adj.,B1
1605,injury,n.,B2
1606,ink,n.,B1
1607,inner,adj.,B2
1608,innocent,adj.,B2
1609,"inquiry, enquiry",,B1
1610,insect,n.,A2
1611,insert,v.,C1
1612,inside,prep.; adv.; n.; adj.,A1
1613,insist,v.,B1
1614,install,v.,B1
1615,instance,n.,B1
1616,instead,adv.,A2
1617,instead of,,B1
1618,institute,n.,B2
1619,institution,n.,B2
1620,instruction,n.,A2
1621,instrument,n.,A2
1622,insult,v.; n.,B2
1623,insulting,adj.,B2
1624,insurance,n.,B2
1625,intelligence,n.,B2
1626,intelligent,adj.,B1
1627,intend,v.,B1
1628,intended,adj.,C1
1629,intention,n.,B2
1630,interest,n.; v.,B1
1631,interested,adj.,A2
1632,interesting,adj.,A1
1633,interior,n.; adj.,B2
1634,internal,adj.,B2
1635,international,adj.,A2
1636,Internet,n.,A1
1637,interpret,v.,B2
1638,interpretation,n.,C2
1639,interrupt,v.,B1
1640,interruption,n.,B2
1641,interval,n.,B1
1642,interview,n.; v.,B1
1643,into,prep.,A1
1644,introduce,v.,B1
1645,introduction,n.,B2
1646,invent,v.,B1
1647,invention,n.,B1
1648,invest,v.,B2
1649,investigate,v.,B2
1650,investigation,n.,B2
1651,investment,n.,B2
1652,invitation,n.,A2
1653,invite,v.,A1
1654,involve,v.,B1
1655,involved in,,B2
1656,involvement,n.,B2
1657,iron,n.; v.,B1
1658,irritate,v.,C1
1659,irritated,adj.,B2
1660,irritating,adj.,B2
1661,-ish,suffix,B2
1662,island,n.,A2
1663,issue,n.; v.,B1
1664,it,pron.; det.,A1
1665,item,n.,B1
1666,its,det.,A1
1667,itself,pron.,A2
1668,jacket,n.,A1
1669,jam,n.,A2
1670,January),n.; abbr. Ja(n.,A1
1671,jealous,adj.,B1
1672,jeans,n.,A1
1673,jelly,n.,A2
1674,jewellery,n.,A2
1675,job,n.,A1
1676,join,v.,A2
1677,joint,adj.; n.,B2
1678,jointly,adv.,C1
1679,joke,n.; v.,B1
1680,journalist,n.,B1
1681,journey,n.,A2
1682,joy,n.,B2
1683,judge,n.; v.,B1
1684,judgement,n.,B2
1685,juice,n.,A1
1686,July,n.; abbr. Jul.,A1
1687,jump,v.; n.,A2
1688,June,n.; abbr. Jun.,A1
1689,junior,adj.; n.,B2
1690,just,adv.,A2
1691,justice,n.,B2
1692,justified,adj.,C1
1693,justify,v.,B2
1694,k,abbr. kilometer,A2
1695,keen,adj.,B1
1696,keen on,,B1
1697,keep,v.,A2
1698,key,n.; adj.,A1
1699,keyboard,n.,A2
1700,kick,v.; n.,A1
1701,kid,n.,B1
1702,kill,v.,A2
1703,killing,n.,B1
1704,kilogram,n.; abbr. kg,A2
1705,kilometre,"n.; abbr. k, km",A2
1706,kind,n.; adj.,A1
1707,kindly,adv.,B1
1708,kindness,n.,B2
1709,king,n.,A2
1710,kiss,v.; n.,A2
1711,kitchen,n.,A1
1712,km,abbr. kilometer,A2
1713,knee,n.,B1
1714,knife,n.,A1
1715,knit,v.,B1
1716,knitted,adj.,B1
1717,knitting,n.,B1
1718,knock,v.; n.,B1
1719,knot,n.,C2
1720,know,v.,A1
1721,knowledge,n.,B1
1722,l abbr.litre,,A2
1723,label,n.; v.,B1
1724,"laboratory, lab",n.,B1
1725,labour,n.,C1
1726,lack,n.; v.,B1
1727,lacking,adj.,C1
1728,lady,n.,B1
1729,lake,n.,A2
1730,lamp,n.,A2
1731,land,n.; v.,B1
1732,landscape,n.,B1
1733,lane,n.,B2
1734,language,n.,A1
1735,large,adj.,A2
1736,largely,adv.,B2
1737,last,det.; adv.; n.; v.,A1
1738,late,adj.; adv.,A1
1739,later,adv.; adj.,A1
1740,latest,adj.; n.,A2
1741,latter,adj.; n.,B2
1742,laugh,v.; n.,A2
1743,launch,v.; n.,B2
1744,law,n.,B1
1745,lawyer,n.,B1
1746,lay,v.,B1
1747,layer,n.,B2
1748,lazy,adj.,A2
1749,lead,v.; n.,B1
1750,leader,n.,B1
1751,leading,adj.,B2
1752,leaf,n.,B1
1753,league,n.,B1
1754,lean,v.,B2
1755,learn,v.,A1
1756,least,det.; pron.; adv.,A2
1757,leather,n.,A2
1758,leave,v.,A1
1759,leave out,,B2
1760,lecture,n.,B1
1761,left,adj.; adv.; n.,A2
1762,leg,n.,A1
1763,legal,adj.,B2
1764,legally,adv.,B2
1765,lemon,n.,A2
1766,lend,v.,A2
1767,length,n.,B1
1768,less,det.; pron.; adv.,A2
1769,lesson,n.,A1
1770,let,v.,A2
1771,letter,n.,A1
1772,level,n.; adj.,A2
1773,library,n.,A2
1774,licence,n.,A2
1775,license,v.,A2
1776,lid,n.,B2
1777,lie,v.; n.,A2
1778,life,n.,A1
1779,lift,v.; n.,A2
1780,light,n.; adj.; v.,A1
1781,lightly,adv.,B1
1782,like,prep.; v.; conj.,A1
1783,likely,adj.; adv.,B1
1784,limit,n.; v.,B1
1785,limited,adj.,B1
1786,line,n.,A2
1787,link,n.; v.,B1
1788,lip,n.,B1
1789,liquid,n.; adj.,B1
1790,list,n.; v.,A2
1791,listen,v.,A1
1792,literature,n.,B1
1793,litre,n.; abbr. l,A2
1794,little,adj.; det.; pron.; adv.,A1
1795,live,adj.; adv.,B1
1796,live,v.,A1
1797,lively,adj.,B1
1798,living,adj.,B2
1799,load,n.; v.,B1
1800,loan,n.,B1
1801,local,adj.,B1
1802,locally,adv.,B2
1803,locate,v.,B2
1804,located,adj.,B1
1805,location,n.,B1
1806,lock,v.; n.,B1
1807,logic,n.,C1
1808,logical,adj.,B2
1809,lonely,adj.,B1
1810,long,adj.; adv.,A1
1811,look,v.; n.,A1
1812,look after,,A2
1813,look at,,B2
1814,look for,,B2
1815,look forward to,,B1
1816,loose,adj.,B1
1817,loosely,adv.,B2
1818,lord,n.,B2
1819,lorry,n.,B1
1820,lose,v.,A2
1821,loss,n.,B2
1822,lost,adj.,A2
1823,lot: a lot),pron.; det.; adv.,A1
1824,loud,adj.; adv.,A2
1825,loudly,adv.,B1
1826,love,n.; v.,A1
1827,lovely,adj.,A2
1828,lover,n.,B1
1829,low,adj.; adv.,A2
1830,loyal,adj.,B2
1831,luck,n.,A2
1832,lucky,adj.,A2
1833,luggage,n.,A2
1834,lump,n.,C2
1835,lunch,n.,A1
1836,lung,n.,B2
1837,machine,n.,A2
1838,machinery,n.,C1
1839,mad,adj.,A2
1840,magazine,n.,A2
1841,magic,n.; adj.,A2
1842,mail,n.; v.,A1
1843,main,adj.,B1
1844,mainly,adv.,B1
1845,maintain,v.,B2
1846,major,adj.,B2
1847,majority,n.,B2
1848,make,v.; n.,A1
1849,make friends,,B1
1850,make fun of,,B2
1851,make sth up,,B1
1852,make sure,,A2
1853,make-up,n.,A2
1854,male,adj.; n.,B1
1855,mall,n.,B1
1856,man,n.,A1
1857,manage,v.,B1
1858,management,n.,B2
1859,manager,n.,A2
1860,manner,n.,B2
1861,manufacture,v.; n.,B2
1862,manufacturer,n.,B2
1863,manufacturing,n.,B2
1864,many,det.; pron.,A1
1865,map,n.,A2
1866,March,n.; abbr. Mar.,A1
1867,march,v.; n.,C1
1868,mark,n.; v.,A2
1869,market,n.,A2
1870,marketing,n.,B2
1871,marriage,n.,B1
1872,married,adj.,A2
1873,marry,v.,B1
1874,mass,n.; adj.,B2
1875,massive,adj.,B2
1876,master,n.,B2
1877,match,n.; v.,A2
1878,matching,adj.,B2
1879,mate,n.; v.,B1
1880,material,n.; adj.,B1
1881,mathematics,n.,A2
1882,matter,n.; v.,A2
1883,maximum,adj.; n.,B1
1884,may,modal; v.,A2
1885,May,n.,A1
1886,maybe,adv.,A2
1887,mayor,n.,B2
1888,me,pron.,A1
1889,meal,n.,A1
1890,mean,v.,A2
1891,meaning,n.,B1
1892,means,n.,B2
1893,meanwhile,adv.,B1
1894,measure,v.; n.,B2
1895,measurement,n.,B2
1896,meat,n.,A1
1897,media,n.,B2
1898,medical,adj.,B2
1899,medicine,n.,A2
1900,medium,adj.; n.,B1
1901,meet,v.,A1
1902,meeting,n.,A2
1903,melt,v.,B2
1904,member,n.,A2
1905,membership,n.,B1
1906,memory,n.,A2
1907,mental,adj.,B2
1908,mentally,adv.,B2
1909,mention,v.,B1
1910,menu,n.,A2
1911,mere,adj.,B2
1912,merely,adv.,B2
1913,mess,n.,B1
1914,message,n.,A1
1915,metal,n.,B1
1916,method,n.,B1
1917,metre,n.,A2
1918,mg,abbr. milligram,B1
1919,mid- combining form,,B2
1920,midday,n.,A2
1921,middle,n.; adj.,A2
1922,midnight,n.,A2
1923,might,modal; v.,A2
1924,mild,adj.,B1
1925,mile,n.,B1
1926,military,adj.,B2
1927,milk,n.,A1
1928,milligram,n.; abbr. mg,B1
1929,millimetre,n.; abbr. mm,B1
1930,mind,n.; v.,B1
1931,mine,pron.; n.,A2
1932,mineral,n.; adj.,A2
1933,minimum,adj.; n.,B1
1934,minister,n.,B2
1935,ministry,n.,C1
1936,minor,adj.,B2
1937,minority,n.,B2
1938,minute,n.,A1
1939,mirror,n.,A2
1940,Miss,n.,A1
1941,miss,v.; n.,A2
1942,missing,adj.,A2
1943,mistake,n.; v.,A2
1944,mistaken,adj.,C1
1945,mix,v.; n.,A2
1946,mixed,adj.,A2
1947,mixture,n.,B2
1948,mm,abbr. millimetre,B1
1949,mobile,adj.,A1
1950,mobile phone,n.,A1
1951,model,n.,A2
1952,modern,adj.,A2
1953,mom,n.,A1
1954,moment,n.,A2
1955,Monday),n.; abbr. Mo(n.,A1
1956,money,n.,A1
1957,monitor,n.; v.,B2
1958,month,n.,A1
1959,mood,n.,B1
1960,moon,n.,A2
1961,moral,adj.,B2
1962,morally,adv.,B2
1963,more,det.; pron.; adv.,A1
1964,moreover,adv.,B2
1965,morning,n.,A1
1966,most,det.; pron.; adv.,A2
1967,mostly,adv.,B1
1968,mother,n.,A1
1969,motion,n.,C2
1970,motor,n.,B2
1971,motorcycle,n.,A2
1972,mount,v.; n.,C2
1973,mountain,n.,A2
1974,mouse,n.,A2
1975,mouth,n.,A1
1976,move,v.; n.,A2
1977,movement,n.,B2
1978,movie,n.,A1
1979,movie theater,n.,A2
1980,moving,adj.,B2
1981,Mr,abbr.,A1
1982,Mrs,abbr.,A1
1983,Ms,abbr.,A2
1984,much,det.; pron.; adv.,A1
1985,mud,n.,B2
1986,multiply,v.,B2
1987,mum,n.,A1
1988,murder,n.; v.,B1
1989,muscle,n.,B2
1990,museum,n.,A1
1991,music,n.,A1
1992,musical,adj.,A2
1993,musician,n.,B1
1994,must,v.,A2
1995,my,det.,A1
1996,myself,pron.,A2
1997,mysterious,adj.,B2
1998,mystery,n.,B1
1999,nail,n.,B2
2000,naked,adj.,B2
2001,name,n.; v.,A1
2002,narrow,adj.,B1
2003,nation,n.,B2
2004,national,adj.,A2
2005,natural,adj.,B1
2006,naturally,adv.,B2
2007,nature,n.,A2
2008,navy,n.,B2
2009,near,adj.; adv.; prep.,A1
2010,nearby,adj.; adv.,B1
2011,nearly,adv.,A2
2012,neat,adj.,B1
2013,neatly,adv.,C1
2014,necessarily,adv.,B2
2015,necessary,adj.,B1
2016,neck,n.,A2
2017,need,v.; modal; v.; n.,A1
2018,needle,n.,B2
2019,negative,adj.,A2
2020,neighbour,n.,A2
2021,neighbourhood,n.,B1
2022,neither,det.; pron.; adv.,B2
2023,nephew,n.,B1
2024,nerve,n.,C1
2025,nervous,adj.,B1
2026,nervously,adv.,B2
2027,nest,n.; v.,C2
2028,net,n.,A2
2029,network,n.,B2
2030,never,adv.,A1
2031,nevertheless,adv.,B2
2032,new,adj.,A1
2033,newly,adv.,B2
2034,news,n.,A2
2035,newspaper,n.,A1
2036,next,adj.; adv.; n.,A1
2037,next to,prep.,A2
2038,nice,adj.,A1
2039,nicely,adv.,B2
2040,niece,n.,B1
2041,night,n.,A1
2042,no,exclamation; det.,A1
2043,"no one, nobody",,A2
2044,No.,abbr. number,A1
2045,nobody,pron.,A2
2046,noise,n.,A1
2047,noisily,adv.,B1
2048,noisy,adj.,A2
2049,non-,prefix,B2
2050,none,pron.,B1
2051,nonsense,n.,B2
2052,nor,conj.; adv.,B2
2053,normal,adj.; n.,A2
2054,normally,adv.,B1
2055,north,n.; adj.; adv.,A2
2056,northern,adj.,B1
2057,nose,n.,A1
2058,not,adv.,A1
2059,note,n.; v.,A1
2060,nothing,pron.,A2
2061,notice,n.; v.,A2
2062,noticeable,adj.,C1
2063,novel,n.,B1
2064,November),n.; abbr. No(v.,A1
2065,now,adv.,A1
2066,nowhere,adv.,B1
2067,nuclear,adj.,B2
2068,number,"abbr. No., no.; n.",A1
2069,nurse,n.,A2
2070,nut,n.,B2
2071,o’clock,adv.,A1
2072,obey,v.,B2
2073,object,n.; v.,B1
2074,objective,n.; adj.,B2
2075,observation,n.,B2
2076,observe,v.,B2
2077,obtain,v.,B2
2078,obvious,adj.,B1
2079,obviously,adv.,B1
2080,occasion,n.,B1
2081,occasionally,adv.,B2
2082,occupied,adj.,B2
2083,occupy,v.,B2
2084,occur,v.,B2
2085,ocean,n.,B1
2086,October,n.; abbr. Oct.,A1
2087,odd,adj.,B2
2088,oddly,adv.,C2
2089,of,prep.,A1
2090,of course,,A1
2091,off,adv.; prep.,A2
2092,offence,n.,B2
2093,offend,v.,B2
2094,offensive,adj.,B2
2095,offer,v.; n.,A2
2096,office,n.,A2
2097,officer,n.,B1
2098,official,adj.; n.,B2
2099,officially,adv.,C1
2100,often,adv.,A1
2101,oh,exclamation,A1
2102,oil,n.,A2
2103,OK,exclamation; adj.; adv.,A1
2104,old,adj.,A1
2105,old-fashioned,adj.,B1
2106,on,prep.; adv.,A1
2107,on board,,B1
2108,on purpose,,B1
2109,once,adv.; conj.,A2
2110,one,number; det.; pron.,A1
2111,"one another, each other",,B1
2112,onion,n.,A2
2113,only,adj.; adv.,A1
2114,onto,prep.,B1
2115,open,adj.; v.,A1
2116,opening,n.,B2
2117,openly,adv.,C1
2118,operate,v.,B1
2119,operation,n.,B1
2120,opinion,n.,B1
2121,opponent,n.,B2
2122,opportunity,n.,B1
2123,oppose,v.,B2
2124,opposed to,,C1
2125,opposing,adj.,B2
2126,opposite,adj.; adv.; n.; prep.,A2
2127,opposition,n.,C1
2128,option,n.,B1
2129,or,conj.,A1
2130,orange,n.; adj.,A1
2131,order,n.; v.,A2
2132,ordinary,adj.,B1
2133,organ,n.,C1
2134,organization,n.,B1
2135,organize,v.,B1
2136,organized,adj.,B2
2137,origin,n.,B2
2138,original,adj.; n.,B1
2139,originally,adv.,B2
2140,other,adj.; pron.,A1
2141,otherwise,adv.,B1
2142,ought to,modal; v.,B1
2143,our,det.,A1
2144,ours,pron.,A2
2145,ourselves,pron.,A2
2146,out,adv.; prep.,A2
2147,outdoor,adj.,B1
